Entity,FE_CODE,LongName,Frequency,Period,FE_Data_Group,Data_Type,Source,FE_Publication,FE_Publication_Date,Value
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2010,Historical forecasts,Consensus,FocusEconomics,01-09-2010,07-09-2010,2.471305
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-09-2010,07-09-2010,2.558728
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-09-2010,07-09-2010,2.852434
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2011,Historical forecasts,Consensus,FocusEconomics,01-01-2011,23-12-2010,2.933809
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-01-2011,23-12-2010,3.042944
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-01-2011,23-12-2010,3.217425
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-01-2011,23-12-2010,3.175074
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,3.354994
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,3.416689
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,3.478873
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,2.913869
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,3.04314
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,3.190435
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-05-2011,03-05-2011,3.263846
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2011,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,2.981436
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2011,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,3.45314
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2011,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,3.397781
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,2.901677
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,3.041514
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,3.161075
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-06-2011,07-06-2011,3.255298
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-01-2012,23-12-2011,1.755047
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-01-2012,23-12-2011,1.977126
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-01-2012,23-12-2011,2.356104
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-01-2012,23-12-2011,2.538278
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-07-2012,03-07-2012,2.24917
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-07-2012,03-07-2012,2.367972
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2013,Historical forecasts,Consensus,FocusEconomics,01-07-2012,03-07-2012,1.804191
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2013,Historical forecasts,Consensus,FocusEconomics,01-07-2012,03-07-2012,2.215291
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2013,Historical forecasts,Consensus,FocusEconomics,01-07-2012,03-07-2012,2.64222
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2013,Historical forecasts,Consensus,FocusEconomics,01-07-2012,03-07-2012,2.827395
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-10-2011,04-10-2011,2.888403
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2012,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,1.974541
